id,order,genus,Epitet,Sp name,Complete name
407,CHIROPTERA,Trinycteris,nicefori,Trinycteris nicefori,"T. nicefori Sanborn, 1949"
103,CETACEA,Tursiops,truncatus,Tursiops truncatus,"T. truncatus (Montagu, 1821)"
408,CHIROPTERA,Uroderma,bilobatum,Uroderma bilobatum,"U. bilobatum Peters, 1866"
409,CHIROPTERA,Uroderma,magnirostrum,Uroderma magnirostrum,"U. magnirostrum Davis, 1968"
691,RODENTIA,Urosciurus,igniventris,Urosciurus igniventris,"U. igniventris (Wagner, 1842)"
692,RODENTIA,Urosciurus,spadiceus,Urosciurus spadiceus,"U. spadiceus Olfers, 1818"
410,CHIROPTERA,Vampyressa,pusilla,Vampyressa pusilla,"V. pusilla (Wagner, 1843)"
411,CHIROPTERA,Vampyressa,thyone,Vampyressa thyone,"V. thyone Thomas, 1909"
412,CHIROPTERA,Vampyriscus,bidens,Vampyriscus bidens,"V. bidens (Dobson, 1878)"
413,CHIROPTERA,Vampyriscus,brocki,Vampyriscus brocki,"V. brocki (Peterson, 1968)"
414,CHIROPTERA,Vampyrodes,caraccioli,Vampyrodes caraccioli,"V. caraccioli (Thomas, 1889)"
415,CHIROPTERA,Vampyrum,spectrum,Vampyrum spectrum,"V. spectrum (Linnaeus, 1758) 15"
586,RODENTIA,Wiedomys,cerradensis,Wiedomys cerradensis,"W. cerradensis Gonçalves, Almeida & Bonvicino, 2005"
588,RODENTIA,Wiedomys,oenax,Wiedomys oenax,"W. oenax (Thomas, 1928)"
587,RODENTIA,Wiedomys,pyrrhorhinos,Wiedomys pyrrhorhinos,"W. pyrrhorhinos (Wied-Neuwied, 1821)"
416,CHIROPTERA,Xeronycteris,vieirai,Xeronycteris vieirai,"X. vieirai Gregorin & Ditchfield, 2005"
119,CETACEA,Ziphius,cavirostris,Ziphius cavirostris,"Z. cavirostris G. Cuvier, 1823"
589,RODENTIA,Zygodontomys,brevicauda,Zygodontomys brevicauda,"Z. brevicauda (J. A. Allen & Chapman, 1893) 14"
590,DIDELPHIMORPHIA,Caluromys,lanatus,Caluromys lanatus,
591,DIDELPHIMORPHIA,Caluromys,philander,Caluromys philander ,
592,DIDELPHIMORPHIA,Caluromysiops,irrupta,Caluromysiops irrupta,
593,DIDELPHIMORPHIA,Chironectes,minimus,Chironectes minimus ,
594,DIDELPHIMORPHIA,Cryptonanus,agricolai,Cryptonanus agricolai ,
595,DIDELPHIMORPHIA,Cryptonanus,chacoensis,Cryptonanus chacoensis ,
596,DIDELPHIMORPHIA,Cryptonanus,guahybae,Cryptonanus guahybae ,
597,DIDELPHIMORPHIA,Didelphis,albiventris,Didelphis albiventris,
598,DIDELPHIMORPHIA,Didelphis,aurita,Didelphis aurita,
599,DIDELPHIMORPHIA,Didelphis,imperfecta,Didelphis imperfecta,
600,DIDELPHIMORPHIA,Didelphis,marsupialis,Didelphis marsupialis ,
601,DIDELPHIMORPHIA,Glironia,venusta,Glironia  venusta ,
602,DIDELPHIMORPHIA,Gracilinanus,agilis,Gracilinanus agilis ,
603,DIDELPHIMORPHIA,Gracilinanus,emiliae,Gracilinanus emiliae ,
604,DIDELPHIMORPHIA,Gracilinanus,microtarsus,Gracilinanus microtarsus,
