"scientificname"	"longitude"	"latitude"	"collectioncode"	"catalognumber"	"identifiedby"	"country"	"stateprovince"	"county"	"locality"	"daycollected"	"monthcollected"	"yearcollected"	"collector"	"collectornumber"	"notes"	"source"	"remove.type"
"Aralia warmingiana"	0	0	"SPF"	"105530"	"An<f4>nimo"	"Brasil"	"Paran<e1>"	"Londrina"	"Parque Estadual Mata dos Godoy"	3	3	1993	"Soares, LH"	"307"	""	"splink"	"lat. 0"
"Aralia warmingiana"	0	0	"SPF"	"152879"	"Frodin, DG"	"Brasil"	"Minas Gerais"	"Lagoa Santa"	"<c1>rea de Prote<e7><e3>o Ambiental Carste de Lagoa Santa"	3	3	1996	"Brina, AE"	"s.n."	""	"splink"	"lat. 0"
"Aralia warmingiana"	0	0	"SPF"	"71068"	"An<f4>nimo"	"Brasil"	"Minas Gerais"	"Vespasiano"	"Regi<e3>o metropolitana de Belo Horizonte. Afloramento metropolitano de Belo Horizonte. Adjacente <e0> Lavra da Cia. de cimento Portland Ita<fa>."	NA	12	1990	"Rollo, MAL"	"23"	""	"splink"	"lat. 0"
"Aralia warmingiana"	0	0	"SPF"	"89013"	"An<f4>nimo"	"Brasil"	"Minas Gerais"	"Patroc<ed>nio"	"Serra do Salitre, Mata ciliar pr<f3>ximo <e0> margem do Rio Salitre."	24	3	1994	"Ceccantini, G"	"315"	""	"splink"	"lat. 0"
"Aralia warmingiana"	0	0	"HUEFS"	"137414"	""	"Brasil"	"Bahia"	"Morro do Chap<e9>u"	"Buraco da Duda ou Burac<e3>o."	19	4	2008	"Melo, E."	"5678"	"Caatinga. Afloramento de calc<e1>rio."	"splink"	"lat. 0"
"Aralia warmingiana"	0	0	"HUEFS"	"89106"	""	"Brasil"	"Paran<e1>"	"Bela Vista do Para<ed>so"	"Bosque Municipal"	18	4	2001	"Fadelli, L."	"FUEL36483"	""	"splink"	"lat. 0"
"Aralia warmingiana"	0	0	"SP"	"338575"	""	"Brasil"	"Paran<e1>"	"Londrina"	"Parque Estadual Mata dos Godoy"	3	3	1993	"Silva, LHS; Silva, FC"	"307"	""	"splink"	"lat. 0"
"Aralia warmingiana"	0	0	"SP"	"338600"	""	"Brasil"	"Paran<e1>"	"Londrina"	"Floresta Godoy, pr<f3>ximo parc. 5 e 14 da por<e7><e3>o norte"	18	3	1994	"Silva, FC; Silva, LHS"	"1682"	""	"splink"	"lat. 0"
"Aralia warmingiana"	0	0	"HCF"	"2240"	"J. Cordeiro & E. Barboza"	"Brasil"	"PR"	"Campo Mour<e3>o"	"Pousada A Fazendinha"	22	5	2005	"H.C.L. Geraldino"	"18"	"<c1>rvore ca. 15m, heli<f3>fita, tronco cascudo, folhas compostas, opostas, glabras. Presen<e7>a de frutos em forma de cacho na cor amarelo escuro."	"splink"	"lat. 0"
"Aralia warmingiana (Marchal) J.Wen"	-54.205	-26.91638	"MO"	"2409440"	"Tressens, S. G., //"	"Argentina"	"Misiones"	"Guaraní"	"Predio Guaraní. Sendero CIFOR en selva"	27	4	1999	"Sara G. Tressens|Lidia I. Ferraro|H.A. Keller|Victor Maruñak|V. Revilla"	"Tressens 6110"	NA	"gbif"	"fora polígono limite"
"Aralia warmingiana (Marchal) J.Wen"	-60.75	-17.83333	"MO"	"1152044"	"M. Mendoza (USZ)"	"Bolivia, Plurinational State of"	"Santa Cruz"	"Chiquitos"	"San Juan de Chiquito. 40 km al Noreste de camino a Bocamina. con elementos de Anadenanthera colubrina; Schinopsis brasiliensis. suelos rojiso."	9	11	1997	"Fabiana Mamani M.|Antony Jardim"	"Mamani M. 1164"	NA	"gbif"	"fora polígono limite"
"Pentapanax warmingianus (Marchal) Harms"	-55	-25.5	"Geneva Herbarium – General Collection (G)"	"G-G-27632/1"	NA	"Paraguay"	NA	NA	"Departamento Alto Paraná -/Departamento del Alto Paraná"	1	2	1985	"Stutz de Ortega, L."	NA	NA	"gbif"	"fora polígono limite"
"Pentapanax warmingianus (Marchal) Harms"	-55	-24.33333	"Geneva Herbarium – General Collection (G)"	"G-G-109166/20"	NA	"Paraguay"	NA	NA	"Departamento Canindeyú/Departamento de Canindeyú"	30	10	1978	"Bernardi, L."	NA	NA	"gbif"	"fora polígono limite"
"Pentapanax warmingianus (Marchal) Harms"	-55.31666	-27.61666	"MO"	"2455257"	NA	"Argentina"	"Misiones"	"Leandro N. Alem"	"leandro N. Alem"	20	4	1955	"M. Buchinger|E.M. Argentina"	"Buchinger s.n.4"	NA	"gbif"	"fora polígono limite"
"Pentapanax warmingianus (Marchal) Harms"	-55.53333	-27.31666	"MO"	"2455242"	NA	"Argentina"	"Misiones"	"Candelaria"	"Loreto"	25	1	1933	"* GRUBNER"	"GRUBNER s.n.0"	NA	"gbif"	"fora polígono limite"
"Pentapanax warmingianus (Marchal) Harms"	-57	-25.25	"Geneva Herbarium – General Collection (G)"	"G-G-108782/2"	NA	"Paraguay"	NA	NA	"Departamento Cordillera/Departamento de la Cordillera"	NA	NA	NA	"Hassler, E."	NA	NA	"gbif"	"fora polígono limite"
"Pentapanax warmingianus (Marchal) Harms"	-57	-25.25	"Geneva Herbarium – General Collection (G)"	"G-G-109169/4"	NA	"Paraguay"	NA	NA	"Departamento Cordillera/Departamento de la Cordillera"	NA	NA	NA	"Hassler, E."	NA	NA	"gbif"	"fora polígono limite"
"Aralia warmingiana (Marchal) J.Wen"	-55.32	-27.62	"HERB"	"51237"	"-"	"Argentina"	"Misiones"	"Leandro N. Alem"	"leandro N. Alem"	NA	NA	NA	"Buchinger, M."	NA	NA	"gbif"	"fora polígono limite"
"Aralia warmingiana (Marchal) J.Wen"	-63.2	-17.74166	"MO"	"1524024"	"J. Wen"	"Bolivia, Plurinational State of"	"Santa Cruz"	NA	"The plain around Santa Cruz that is bound by the 700 m contour of the Andean foothills to the west, and the Río Grande to the east"	NA	NA	NA	"Michael H. Nee"	"Nee 33832"	NA	"gbif"	"fora polígono limite"
"Aralia warmingiana (Marchal) J.Wen"	-55.32	-27.62	"HERB"	"51236"	"-"	"Argentina"	"Misiones"	"Leandro N. Alem"	"leandro N. Alem"	NA	NA	NA	"Buchinger, M."	NA	NA	"gbif"	"fora polígono limite"
"Pentapanax warmingianus (Marchal) Harms"	-56	-23	"Geneva Herbarium – General Collection (G)"	"G-G-109167/1"	NA	"Paraguay"	NA	NA	"Departamento Amambay/Departamento del Amambay"	NA	NA	NA	"Hassler, E. & T. Rojas"	NA	NA	"gbif"	"fora polígono limite"
"Aralia warmingiana (Marchal) J.Wen"	-56.23	-28.21	"CTES-VASC"	"561892"	NA	"Argentina"	"Corrientes"	"Santo Tomé"	"Ea. Timbó, 15 km SE de Colonia Garabí."	NA	NA	NA	"Tressens, S. G."	"1148"	"En isleta de selva. Árbol de 10-15 m alt., tronco 37.57 cm de diam. Hojas A y B"	"gbif"	"fora polígono limite"
"Aralia warmingiana (Marchal) J.Wen"	-55.59	-27.44	"HERB"	"51238"	"-"	"Argentina"	"Misiones"	"Candelaria"	"Loreto"	NA	NA	NA	"Grübner, -"	NA	NA	"gbif"	"fora polígono limite"
"Pentapanax warmingianus (Marchal) Harms"	-57	-26	"Geneva Herbarium – General Collection (G)"	"G-G-109168/2"	NA	"Paraguay"	NA	NA	"Departamento Paraguari/Departamento de Paraguarí"	NA	NA	NA	"Balansa, B."	NA	NA	"gbif"	"fora polígono limite"
"Aralia warmingiana (Marchal) J.Wen"	-54.21	-26.92	"HERB"	"88312"	"Tressens, S. G."	"Argentina"	"Misiones"	"Guaraní"	"Predio Guaraní. Sendero CIFOR en selva"	NA	NA	NA	"Tressens, S. G."	NA	NA	"gbif"	"fora polígono limite"
"Aralia warmingiana (Marchal) J.Wen"	-58.5	-27.33	"CTES-VASC"	"561895"	NA	"Argentina"	"Corrientes"	"San Cosme"	"Ruta 12. 10 Km E del desvío a Paso de la Patria."	NA	NA	NA	"Tressens, S. G."	"1040"	"En isleta de selva, borde de ruta. Arbol de ca. 4 m de alt. Tronco blanquecino, recto. Hojas A, B y C"	"gbif"	"fora polígono limite"
"Pentapanax warmingianus (Marchal) Harms"	-57	-26	"Geneva Herbarium – General Collection (G)"	"G-G-109168/3"	NA	"Paraguay"	NA	NA	"Departamento Paraguari/Departamento de Paraguarí"	NA	NA	NA	"Balansa, B."	NA	NA	"gbif"	"fora polígono limite"
"Aralia warmingiana (Marchal) J.Wen"	-56.73	-27.72	"CTES-VASC"	"561889"	NA	"Argentina"	"Corrientes"	"Ituzaingó"	"RN 12, Rincón Ombú Chico."	NA	NA	NA	"Medán, D."	"16863"	"Costa del río. Arbusto mas o menos 4-5 m."	"gbif"	"fora polígono limite"
"Aralia warmingiana (Marchal) J.Wen"	-55.32	-27.62	"HERB"	"51235"	"-"	"Argentina"	"Misiones"	"Leandro N. Alem"	"leandro N. Alem"	NA	NA	NA	"Buchinger, M."	NA	NA	"gbif"	"fora polígono limite"
"Aralia warmingiana (Marchal) J.Wen"	-56.23	-28.21	"CTES-VASC"	"561893"	NA	"Argentina"	"Corrientes"	"Santo Tomé"	"Garruchos, Estancia San Juan Bautista."	NA	NA	NA	"Krapovickas, A."	"25164"	"""Arbol mas o menos 5 a 6 m de alt., N.V: """"parí-Paroa""""."""	"gbif"	"fora polígono limite"
"Aralia warmingiana (Marchal) J.Wen"	-56.07	-27.05	"CTES-VASC"	"561890"	NA	"Argentina"	"Corrientes"	"Ituzaingó"	"Ea. Sta. Rita."	NA	NA	NA	"Krapovickas, A."	"41160"	"Isleta de selva con urunday próxima al río Paraná. Interior de isleta de selva. Arbolito joven."	"gbif"	"fora polígono limite"
