datelastmodified	institutioncode	collectioncode	catalognumber	scientificname	basisofrecord	kingdom	phylum	class	ordem	family	genus	species	subspecies	scientificnameauthor	identifiedby	yearidentified	monthidentified	dayidentified	typestatus	collectornumber	fieldnumber	collector	yearcollected	monthcollected	daycollected	julianday	timeofday	continentocean	country	stateprovince	county	locality	longitude	latitude	longitude_mun	latitude_mun	coordinateprecision	boundingbox	minimumelevation	maximumelevation	minimumdepth	maximumdepth	sex	preparationtype	individualcount	previouscatalognumber	relationshiptype	relatedcatalogitem	notes
"2016-12-20 20:40:54-02"	UFBA	ALCB	80074	"Cavanillesia umbellata"	S	Plantae	Dicotyledon			Malvaceae	Cavanillesia	umbellata		"A.Ruiz & Pav."	"Guedes, ML"	2007	07			606		"Valadão, R. de M.; Guedes, ML"	2007	07	18			"Southern America"	Brasil	Bahia	Cocos	"Oeste, Faz. de Joel Gonzaga"	-44.666667	-14.381389															"de ca 15 m de altura. Inflorescência cálice com tomentos ferrugíneos, botões róseos, pétalas e estames alvos. Frutos imaturos jovens verdes."
"2016-12-20 20:40:54-02"	UFBA	ALCB	82626	"Cavanillesia umbellata"	S	Plantae	Dicotyledon			Malvaceae	Cavanillesia	umbellata		"A.Ruiz & Pav."	"Guedes, ML; Prates, ARS"	2008	03			25		"Venâncio, AF; Esteves, F"	2008	02	07			"Southern America"	Brasil	Bahia	Iraquara	"Chapada Diamantina, Lagoa de Santa Rita"	-41.577778	-12.350278															"de ca 4 m de altura, CAP de 30 cm . Casca lisa, indivíduo jovem. Folhas simples. Material estéril.; Floresta Estacional Decídua, Solo Raso calcário."
"2016-12-20 20:40:54-02"	UFBA	ALCB	82626	"Cavanillesia umbellata"	S	Plantae	Dicotyledon			Malvaceae	Cavanillesia	umbellata		"A.Ruiz & Pav."	"Guedes, ML; Prates, ARS"	2008	03			25		"Venâncio, AF; Esteves, F"	2008	02	07			"Southern America"	Brasil	Bahia	Iraquara	"Chapada Diamantina, Lagoa de Santa Rita"	-41.577778	-12.350278															"de ca 4 m de altura, CAP de 30 cm . Casca lisa, indivíduo jovem. Folhas simples. Material estéril.; Floresta Estacional Decídua, Solo Raso calcário."
"2016-12-20 20:40:54-02"	UFBA	ALCB		"Cavanillesia umbellata"	S	Plantae	Dicotyledon			Malvaceae	Cavanillesia	umbellata		"A.Ruiz & Pav."						6236		"Guedes, ML; Velozo, ES"	1998	12	06			"Southern America"	Brasil	Bahia	"Feira de Santana"	"Paraguaçu, Próximo a cidade de Feira de Santana. Fazenda Havana"	-38.966667	-12.266667															"19 m. Sem folhas, totalmente frutificada. Ocasional.; com pastagem."
"2017-02-20 16:31:11-03"	NYBG	NYBG_BR	01806803	"Cavanillesia arborea"	S	Plantae	Magnoliophyta		Malvales	Malvaceae	Cavanillesia	arborea			"J. A. Kallunki"					2467		"A. M. Amorim"	1998	08	13			"South America"	Brasil	Bahia	Jussari	"Rod. Jussari/Palmira. Entrada ca. 7.5 km de Jussari. Fazenda Teimosos. RPPN Serra do Teimoso"	-39.5286	-15.1581															"<a href=\"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2219379\" target=\"other\" class=\"eLink\"> <mi>dwc_moreinfo</mi></a>"
"2017-02-20 16:31:11-03"	NYBG	NYBG_BR	1182814	"Cavanillesia arborea"	S	Plantae	Magnoliophyta		Malvales	Malvaceae	Cavanillesia	arborea								2295		"D. B. O. S. Cardoso"	2008	01	18			"South America"	Brasil	Bahia	Itaberaba	"ARIE Serra do Orobó, Fazenda Leão dos Brejos."	-40.5211	-12.4172					340	340									"<a href=\"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1409012\" target=\"other\" class=\"eLink\"> <mi>dwc_moreinfo</mi></a>"
"2017-02-20 16:31:11-03"	NYBG	NYBG_BR	402427	"Cavanillesia arborea"	S	Plantae	Magnoliophyta		Malvales	Malvaceae	Cavanillesia	arborea			"J. A. Kallunki"					135		"R. S. Pinheiro"	1967	07	24			"South America"	Brasil	Bahia	Jussari	"Itabuna, Juçari."	-39.4953	-15.1917															"<a href=\"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150137\" target=\"other\" class=\"eLink\"> <mi>dwc_moreinfo</mi></a>"
"2017-02-20 16:31:11-03"	NYBG	NYBG_BR	402428	"Cavanillesia arborea"	S	Plantae	Magnoliophyta		Malvales	Malvaceae	Cavanillesia	arborea			"J. A. Kallunki"					1856		"T. S. dos Santos"	1971	08	17			"South America"	Brasil	Bahia	Itapebi	"Faz. Ventania estrada velha ao rio Jequitinonha"	-39.5339	-15.9508															"<a href=\"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=150138\" target=\"other\" class=\"eLink\"> <mi>dwc_moreinfo</mi></a>"
"2017-02-20 15:31:10-03"	NYBG	NYBG_BR	778774	"Cavanillesia arborea"	S	Plantae			Malvales	Malvaceae	Cavanillesia	arborea			"B. A. S. Pereira"					2819		"B. A. S. Pereira"	1995	08	13			"South America"	Brasil	Goiás	"Guarani de Goiás"	"No. km 16 da estrada Posse/Guarani de Goiás."	-46.58	-13.92					650	650									"<a href=\"http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=798383\" target=\"other\" class=\"eLink\"> <mi>dwc_moreinfo</mi></a>"
"2016-10-17 14:30:32-02"	JBB	HEPH	32252	"Cavanillesia arborea"	S	Plantae	Dicotyledon		Malvales	Malvaceae	Cavanillesia	arborea		"(Willd.) K.Schum."						412		"Jesus, FPR de"	2016	08	25			"Southern America"	Brasil	Goiás	"Nova Roma"	"Entrada de Nova Roma"	-46.8675	-13.744167															"Muito frequente; Árvore 15m; flor creme; fruto verde, fica marrom quando maduro; Campo rupestre; solo rochoso"
"2016-06-08 10:45:05-03"	JBB	HEPH	28035	"Cavanillesia umbellata"	S	Plantae	Dicotyledon		Malvales	Malvaceae	Cavanillesia	umbellata		"Ruiz & Pav."	"Paiva, VF; Oliveira, MS"	2011				349		"Jesus, FPR de"	2011	08	18			"Southern America"	Brasil	Goiás	"Nova Roma"		0	0	-46.8803	-13.7419	46333												"Árvore; frutos jovens de cor verde; Fruto Imaturos verdes; Beira de estrada; Relevo Inclinado"
"2016-06-08 10:45:05-03"	JBB	HEPH	28149	"Cavanillesia umbellata"	S	Plantae	Dicotyledon		Malvales	Malvaceae	Cavanillesia	umbellata		"Ruiz & Pav."	"Paiva, VF; Oliveira, MS"	2011				351		"Jesus, FPR de"	2011	10	24			"Southern America"	Brasil	Goiás	"Nova Roma"		0	0	-46.8803	-13.7419	46333												"Plântula de mais ou menos 20cm; Fruto Imaturos verdes;; Beira de estr.interna da Reserva(Borda de cerrado; Relevo Declive"
