"issues" "scientificName" "decimalLongitude" "decimalLatitude" "collectionCode" "catalogNumber" "identifiedBy" "country" "stateProvince" "county" "locality" "day" "month" "year" "recordedBy" "recordNumber" "occurrenceRemarks"
"" "Pentapanax warmingianus (Marchal) Harms" NA NA "UFG" "9078" NA "Brazil" "Goiás" NA NA 23 4 1973 "Rizzo, J.A." "8987" NA
"GEODETIC_DATUM_ASSUMED_WGS84" "Aralia warmingiana (Marchal) J.Wen" -38.508611 -7.562222 "ASE" "1210" "Campos, DA" "Brazil" "Paraíba" NA "estrada p/ Bonito de Santa Fé" 30 11 1971 "Andrade-Lima, D de" "1101" "Árvore. 7-8m. . inflorescência axilar não exatamente terminal.; Caatinga; HABITAT: Caatinga; DESC: Árvore. 7-8m. . inflorescência axilar não exatamente terminal."
"GEODETIC_DATUM_ASSUMED_WGS84" "Aralia warmingiana (Marchal) J.Wen" -53.77 -27.17 "Botany" "2577499" NA "Brazil" "Santa Catarina" NA "Mun. Itapiranga. Above Rio Uruguai, Barra Macaco Branco." 18 12 1964 "L. B. Smith & R. M. Klein" "14120" NA
"GEODETIC_DATUM_ASSUMED_WGS84,IDENTIFIED_DATE_UNLIKELY,MULTIMEDIA_URI_INVALID" "Aralia warmingiana (Marchal) J.Wen" -53.77 -27.17 NA "886484" "J. Wen" "Brazil" "Santa Catarina" "Itapiranga" "Forest above Rio Uruguai, Barra Macaco Branco" 18 12 1964 "L. B. Smith" "14120" NA
"GEODETIC_DATUM_ASSUMED_WGS84" "Aralia warmingiana (Marchal) J.Wen" -53.76667 -27.16667 "P" "P03258229" NA "Brazil" "Santa Catarina" "Itapiranga" NA 18 12 1964 "Smith, L.B.|Klein, R.M." NA NA
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "PACA_AGP" "57187" "P. Fiaschi" "Brazil" "Rs" NA "Bohmerschneis" 1 4 1955 "Rambo, B." NA "EM PERIGO Habitat: In silva. Fenofase: fruto"
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "PACA-AGP" "57187" "P. Fiaschi" "Brazil" "Rs" NA "Bohmerschneis" 1 4 1955 "Rambo, B." NA "EM PERIGO Habitat: In silva. Fenofase: fruto"
"GEODETIC_DATUM_ASSUMED_WGS84" "Pentapanax warmingianus (Marchal) Harms" -55.31666 -27.61666 "MO" "2455257" NA "Argentina" "Misiones" "Leandro N. Alem" "leandro N. Alem" 20 4 1955 "M. Buchinger|E.M. Argentina" "Buchinger s.n.4" NA
"" "Pentapanax warmingianus (Marchal) Harms" NA NA "PACA_AGP" "39974" "Emrich-Rambo" "Brazil" "Rs" NA "ad montem Ferrabraz" 12 1 1949 "Rambo, B." NA "EM PERIGO&nf;SEM MATERIAL Habitat: in silva primaeva Fenofase: estéril"
"" "Pentapanax warmingianus (Marchal) Harms" NA NA "PACA-AGP" "39974" "Emrich-Rambo" "Brazil" "Rs" NA "ad montem Ferrabraz" 12 1 1949 "Rambo, B." NA "EM PERIGO&nf;SEM MATERIAL Habitat: in silva primaeva Fenofase: estéril"
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "PACA-AGP" "41585" "P. Fiaschi" "Brazil" "Rs" NA "Ad montem Ferrabraz" 16 5 1949 "Rambo, B." NA "EM PERIGO Habitat: In silva primaeva. Fenofase: estéril"
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "PACA_AGP" "41585" "P. Fiaschi" "Brazil" "Rs" NA "Ad montem Ferrabraz" 16 5 1949 "Rambo, B." NA "EM PERIGO Habitat: In silva primaeva. Fenofase: estéril"
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "PACA_AGP" "42912" "P. Fiaschi" "Brazil" "Rs" NA "Schwabenschneis" 12 8 1949 "Rambo, B." NA "EM PERIGO Habitat: In silva primaeva. Fenofase: estéril"
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "PACA-AGP" "42912" "P. Fiaschi" "Brazil" "Rs" NA "Schwabenschneis" 12 8 1949 "Rambo, B." NA "EM PERIGO Habitat: In silva primaeva. Fenofase: estéril"
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "PACA-AGP" "36013" "P. Fiaschi" "Brazil" "Rs" NA "Butterberg" 1 1 1947 "Rambo, B." NA "EM PERIGO Habitat: In silva primaeva. Fenofase: fruto"
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "PACA_AGP" "36013" "P. Fiaschi" "Brazil" "Rs" NA "Butterberg" 1 1 1947 "Rambo, B." NA "EM PERIGO Habitat: In silva primaeva. Fenofase: fruto"
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "PACA_AGP" "28136" "P. Fiaschi" "Brazil" "Rs" NA "Ad fl. Uruguay" 1 3 1945 "Rambo, B." NA "Habitat: In silva primaeva. Fenofase: estéril"
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "PACA-AGP" "28136" "P. Fiaschi" "Brazil" "Rs" NA "Ad fl. Uruguay" 1 3 1945 "Rambo, B." NA "Habitat: In silva primaeva. Fenofase: estéril"
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "PACA_AGP" "32845" "P. Fiaschi" "Brazil" "Rs" NA "Butterberg" 17 12 1945 "Rambo, B." NA "Habitat: In silva primaeva. Fenofase: estéril"
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "PACA-AGP" "32845" "P. Fiaschi" "Brazil" "Rs" NA "Butterberg" 17 12 1945 "Rambo, B." NA "Habitat: In silva primaeva. Fenofase: estéril"
"" "Aralia warmingiana (Marchal) J.Wen" NA NA "PACA-AGP" "4675" "P. Fiaschi" "Brazil" "Rs" NA "Boca do Mato" 18 2 1941 "Rambo, B." NA "Habitat: In silva primaeva. Fenofase: estéril"
