"issues" "scientificName" "decimalLongitude" "decimalLatitude" "collectionCode" "catalogNumber" "identifiedBy" "country" "stateProvince" "county" "locality" "day" "month" "year" "recordedBy" "recordNumber" "occurrenceRemarks"
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia arborea (Willd.) K.Schum." -46.723889 -14.539167 "CNMT" "3358" NA "Brazil" "Goiás" NA "Fazenda Itú" 25 8 2003 "Sevilha, A.C.; Guarino,E.S.G.;Pereira,J.B." "3084" "Ponto 3; Ambiente : Cerrado(Floresta Estacional Decimal); Relevo: Altiplano; Substrato: Neossolo Quartzorênico; Flor: Branca; Fruto: Imaturo Verde; Tubo Da Corola Vináceo, Estame Brancos ; Sobre afloramento calcário."
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia arborea (Willd.) K.Schum." -46.723889 -14.539167 "CNMT" "3313" NA "Brazil" "Goiás" NA "Fazenda Itú" 25 8 2003 "Sevilha, A.C.; Guarino,E.S.G.;Pereira,J.B." "3084" "Ponto 3; Ambiente : Cerrado(Floresta Estacional Decimal); Relevo: Altiplano; Substrato: Neossolo Quartzorênico; Flor: Branca; Fruto: Imaturo Verde; Tubo Da Corola Vináceo, Estame Brancos ; Sobre afloramento calcário."
"GEODETIC_DATUM_ASSUMED_WGS84,IDENTIFIED_DATE_UNLIKELY" "Cavanillesia umbellata Ruiz & Pav." -67.78861 -14.98777 "MO" "1749941" "I. Loza (LPB)" "Bolivia, Plurinational State of" "La Paz" "Franz Tamayo" "Parque Nacional Madidi, río Quendeque, detrás del campamento ""Retamas"". Bosque amazónico pluviestacional húmedo, de piedemonte subandino, bien drenado, con Pentaplaris davidsmithii, Arecaceae spp, Annonaceae spp, Burseraceae spp, Moraceae spp. En terraza antigua. Parcela Temporal de Muestreo (0.1 ha) 4." 28 1 2002 "D. De la Quintana" "De la Quintana 174" NA
"GEODETIC_DATUM_ASSUMED_WGS84,IDENTIFIED_DATE_UNLIKELY" "Cavanillesia umbellata Ruiz & Pav." -67.79333 -14.97666 "MO" "1764448" "V. Cardona, Rev. W. Alverson (F)" "Bolivia, Plurinational State of" "La Paz" "Franz Tamayo" "Parque Madidi, orilla izquierda Río Quendeque, una hora del campamento Retamas. bosque bajo, con muchas palmeras, bejucos, en el sotobosque muchas marantaceas y Asplundia" 25 1 2002 "Renate Seidel|et al." "Seidel 8450" NA
"COORDINATE_ROUNDED,GEODETIC_DATUM_ASSUMED_WGS84,IDENTIFIED_DATE_UNLIKELY" "Cavanillesia umbellata Ruiz & Pav." -67.956111 -14.367222 "MO" "1854564" "I. Loza (LPB)" "Bolivia, Plurinational State of" "La Paz" "Abel Iturralde" "Área Natural de Manejo Integrado Madidi. Arroyo Rudidi, sobre el Río Tuichi." 14 10 2002 "Alejandro Araujo M.|Héctor Cabrera|M.H. Calzadilla|Fabiola Torrico|Leopoldo Lucia|L. Quetehuari|Justino Navi|Marcelino Villanueva" "Araujo Murakami 374" NA
"COUNTRY_COORDINATE_MISMATCH,GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia arborea (Willd.) K.Schum." 0 -15.210278 "BHCB" "64840" NA "Brazil" "Minas Gerais" NA "Furados." 19 10 2001 "Lombardi, JA; Dulith, JHA & Semir, J" "4448" "áreas mais elevadas de carrasco em volta do lageado, terreno argiloso. Árvore, ca. 25 m, sem folhas, frutos caidos, plântulas emergindo, cotilédones carnosos; DESC: áreas mais elevadas de carrasco em volta do lageado, terreno argiloso. Árvore, ca. 25 m,"
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia arborea (Willd.) K.Schum." -43.859167 -15.210278 "UEC" "123679" NA "Brazil" "Minas Gerais" NA "Furados, lado esq. da estrada Jaiba/ mocambinho" 19 10 2001 "Lombardi, J.A.; Dutilh, J.H.A.; Semir, J." "4449" "Áreas mais elevadas de carrasco em volta do lageado, terreno argiloso. Árvore, ca. 25m, sem folhas, frutos caidos, plântulas emergindo, cotilédones carnosos"
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia arborea (Willd.) K.Schum." -46.7725 -13.615556 "HUEFS" "176785" NA "Brazil" "Goiás" NA "Fazenda Flor do Ermo.Prop. José Pereira.," 8 8 1999 "Sevilha, A.C." "1823" "Mata decídua."
"GEODETIC_DATUM_ASSUMED_WGS84" "Cavanillesia arborea (Willd.) K.Schum." -43.916667 -14.333333 "UB" "148743" NA "Brazil" "Minas Gerais" NA "Between Caninanha and Manga." 4 8 1998 "Ratter, JA" "8061" "Flowers orange-scarlet. Fruits dark rose colour.; Tree 20m tall."
"GEODETIC_DATUM_ASSUMED_WGS84,IDENTIFIED_DATE_UNLIKELY,MULTIMEDIA_URI_INVALID" "Cavanillesia arborea (Willd.) K.Schum." -39.5286 -15.1581 NA "01806803" "J. A. Kallunki" "Brazil" "Bahia" "Jussari" "Rod. Jussari/Palmira. Entrada ca. 7.5 km de Jussari. Fazenda Teimosos. RPPN Serra do Teimoso" 13 8 1998 "A. M. Amorim" "2467" NA
