"scientificname" "longitude" "latitude" "collectioncode" "catalognumber" "identifiedby" "country" "stateprovince" "county" "locality" "daycollected" "monthcollected" "yearcollected" "collector" "collectornumber" "notes" "source"
"Aralia warmingiana (Marchal) J.Wen" -47 -16 NA "00958279" "J. Wen" "Brazil" "Minas Gerais" NA "Sagarana, Projeto Integrado de ColonizaÃƒÂ§ao (INCRA), NW Minas Gerais" 15 9 1985 "J. A. Ratter" "R5047" NA "gbif"
"Pentapanax warmingianus (Marchal) Harms" -55 -24.33333 "Geneva Herbarium Ã¢â‚¬â€œ General Collection (G)" "G-G-109166/20" NA "Paraguay" NA NA "Departamento CanindeyÃƒÂº/Departamento de CanindeyÃƒÂº" 30 10 1978 "Bernardi, L." NA NA "gbif"
"Aralia warmingiana (Marchal) J.Wen" -38.508611 -7.562222 "ASE" "1210" "Campos, DA" "Brazil" "ParaÃƒÂ­ba" NA "estrada p/ Bonito de Santa FÃƒÂ©" 30 11 1971 "Andrade-Lima, D de" "1101" "ÃƒÂrvore. 7-8m. . inflorescÃƒÂªncia axilar nÃƒÂ£o exatamente terminal.; Caatinga; HABITAT: Caatinga; DESC: ÃƒÂrvore. 7-8m. . inflorescÃƒÂªncia axilar nÃƒÂ£o exatamente terminal." "gbif"
"Aralia warmingiana" -46.993611 -18.944722 "SPFW" "554" "P. Fiaschi 2012" "Brasil" "Minas Gerais" "PatrocÃ­nio" "Serra do Salitre" 1 1 1994 "Ceccantini, G.C.T." "315" "" "splink"
"Aralia warmingiana" -53.3775 -26.471944 "FURB" "20629" "Stival-Santos, A" "Brasil" "Santa Catarina" "Palma Sola" "Escondida" 13 5 2009 "Stival-Santos, A; Schmitt, J; Silveira, S" "1524" "Fito IFFSC 6005 /L/10" "splink"
"Aralia warmingiana" -49.516667 -19.916667 "HRCB" "39355" "Mendoza, M." "Brasil" "SÃ£o Paulo" "Paulo de Faria" "EstaÃ§Ã£o EcolÃ³gica de Paulo de Faria" 20 11 2001 "Tomasetto, F." "198" "Ãrvore ca. 20m, botÃµes creme, interior da mata." "splink"
"Aralia warmingiana" -40.304167 -20.276667 "VIES" "758" "" "Brasil" "EspÃ­rito Santo" "VitÃ³ria" "Campus da UFES - Goiabeiras, Floresta de Tabuleiro." 6 5 1985 "Vinha, P.C." "s.n." "Ãrvore com 5 m de altura. Flor alva." "splink"
"Aralia warmingiana" -44.0825 -18.644444 "HDJF" "825" "Machado; E.LM." "Brasil" "Minas Gerais" "Presidente Juscelino" "Presidente Juscelino, Minas Gerais, Zona rural" NA 9 2012 "Oliveira, A.C.C.; Machado, E.L.M." "" "" "splink"
"Aralia warmingiana" -44.0825 -18.644444 "HDJF" "826" "Machado; E.LM." "Brasil" "Minas Gerais" "Presidente Juscelino" "Presidente Juscelino, Minas Gerais, Zona rural" NA 9 2012 "Oliveira, A.C.C.; Machado, E.L.M." "" "" "splink"
"Aralia cf. warmingiana" -56.696111 -21.283583 "COR" "11572" "M. Mendoza, 21/01/2016" "Brasil" "MS" "Porto Murtinho" "Fazenda Harmonia - Rio Perdido" 8 9 2005 "Damasceno Jr., G.A.;Maria,V.R.; Batilani,J.; Pott,A; Velasques,J." "3863" "" "splink"
"Aralia warmingiana" -47 -16 "NYBG_BR" "00958278" "J. Wen" "Brasil" "Minas Gerais" "" "Sagarana, Projeto Integrado de ColonizaÃ§ao (INCRA), NW Minas Gerais" 15 9 1985 "J. A. Ratter" "R5047" "<a href=\http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022190\ target=\other\ class=\eLink\> <mi>dwc_moreinfo</mi></a>" "splink"
"Aralia warmingiana" -47 -16 "NYBG_BR" "00958279" "J. Wen" "Brasil" "Minas Gerais" "" "Sagarana, Projeto Integrado de ColonizaÃ§ao (INCRA), NW Minas Gerais" 15 9 1985 "J. A. Ratter" "R5047" "<a href=\http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1022192\ target=\other\ class=\eLink\> <mi>dwc_moreinfo</mi></a>" "splink"
"Aralia warmingiana" -39.1839 -12.1617 "NYBG_BR" "1144310" "" "Brasil" "Bahia" "Anguera" "Fazenda Retiro, ca. 18 km de Feira de Santana na Estrada do FeijÃ£o sentido IpirÃ¡." 22 5 2007 "D. B. O. S. Cardoso" "1962" "<a href=\http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1287245\ target=\other\ class=\eLink\> <mi>dwc_moreinfo</mi></a>" "splink"
"Aralia warmingiana" -53.9975 -27.474722 "ICN" "161928" "Molz, M" "Brasil" "RS" "TrÃªs Passos" "Distrito de Padre GonzÃ¡les RS 305 22J203787.57 E 6957398.52 S" 10 5 2008 "Molz, M" "s.n." "" "splink"
"Aralia warmingiana" -39.0064722222222 -7.71033333333333 "HVASF" "21235" "D.G. Oliveira" "Brasil" "CearÃ¡" "Jati" "ReservatÃ³rio Jati" 27 8 2013 "D.G. Oliveira" "1029" "Ãrvore ca. de 7m alt.. Caule com ritidoma espesso, rugoso, fissuras longitudinais. Ramos jovens com cicatrizes foliares. Folhas bipinadas, espiraladas. Flores com tonalidade creme-alva. Frutos em desenvolvimento." "splink"
"Aralia warmingiana" -39.0064444444444 -7.71033333333333 "HVASF" "21598" "E. Melo" "Brasil" "CearÃ¡" "Jati" "ReservatÃ³rio Jati, coletado na cota mais baixa um vale" 22 11 2013 "D.G. Oliveira" "1059" "Ãrvore ca. de 6,5m alt.. Caule com ritidoma espesso, rugoso, fissuras longitudinais. Ramos jovens com cicatrizes foliares. Folhas bipinadas, espiraladas. Flores com tonalidade creme-alva. Frutos coloraÃ§Ã£o creme em desenvolvimento." "splink"
