"scientificname" "longitude" "latitude" "collectioncode" "catalognumber" "identifiedby" "country" "stateprovince" "county" "locality" "daycollected" "monthcollected" "yearcollected" "collector" "collectornumber" "notes" "source"
"Cavanillesia arborea (Willd.) K.Schum." 0 -15.210278 "BHCB" "64840" NA "Brazil" "Minas Gerais" NA "Furados." 19 10 2001 "Lombardi, JA; Dulith, JHA & Semir, J" "4448" "Ã¡reas mais elevadas de carrasco em volta do lageado, terreno argiloso. Ãrvore, ca. 25 m, sem folhas, frutos caidos, plÃ¢ntulas emergindo, cotilÃ©dones carnosos; DESC: Ã¡reas mais elevadas de carrasco em volta do lageado, terreno argiloso. Ãrvore, ca. 25 m," "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -43.859167 -15.210278 "UEC" "123679" NA "Brazil" "Minas Gerais" NA "Furados, lado esq. da estrada Jaiba/ mocambinho" 19 10 2001 "Lombardi, J.A.; Dutilh, J.H.A.; Semir, J." "4449" "Ãreas mais elevadas de carrasco em volta do lageado, terreno argiloso. Ãrvore, ca. 25m, sem folhas, frutos caidos, plÃ¢ntulas emergindo, cotilÃ©dones carnosos" "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -46.7725 -13.615556 "HUEFS" "176785" NA "Brazil" "GoiÃ¡s" NA "Fazenda Flor do Ermo.Prop. JosÃ© Pereira.," 8 8 1999 "Sevilha, A.C." "1823" "Mata decÃ­dua." "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -43.916667 -14.333333 "UB" "148743" NA "Brazil" "Minas Gerais" NA "Between Caninanha and Manga." 4 8 1998 "Ratter, JA" "8061" "Flowers orange-scarlet. Fruits dark rose colour.; Tree 20m tall." "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -39.5286 -15.1581 NA "01806803" "J. A. Kallunki" "Brazil" "Bahia" "Jussari" "Rod. Jussari/Palmira. Entrada ca. 7.5 km de Jussari. Fazenda Teimosos. RPPN Serra do Teimoso" 13 8 1998 "A. M. Amorim" "2467" NA "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -43.916667 -14.333333 "E" "E00100860" NA "Brazil" "State of Minas Gerais" NA "Municipio de Manga.Between Caninanha and Manga. Between Caninanha and Manga" 4 8 1998 "Ratter, James Alexander" "R8061" NA "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -39.528611 -15.158056 "MO" "100658377" "J. Kallunki" "Brazil" "Bahia" "Jussari" "Rod. Jussari/Palmira. Entrada ca. 7.5 km de Jussari. Faz. Teimosos. RPPN Serra do Teimoso. Mata MesÃ³fila." 13 8 1998 "AndrÃ© M. Amorim|Jomar G. Jardim|L.M. Berbert|J. Lima PaixÃ£o" "Amorim 2467" NA "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -43.916667 -14.333333 "E" "E00100859" NA "Brazil" "State of Minas Gerais" NA "Municipio de Manga.Between Caninanha and Manga. Between Caninanha and Manga" 4 8 1998 "Ratter, James Alexander" "R8061" NA "gbif"
"Cavanillesia umbellata Ruiz & Pav." -70.26083 -3.81692 "COAH" "33296" "CÃ¡rdenas, D." "Colombia" "Amazonas" "Leticia" "PNN Amacayacu, sector de Mata-MatÃ¡." 20 8 1998 "Arias-G., J.C." "559" "Ejemplar botÃ¡nico" "gbif"
"Cavanillesia umbellata Ruiz & Pav." -70.54944 -3.76115 "COAH" "33513" "CÃ¡rdenas, D." "Colombia" "Amazonas" "Puerto NariÃ±o" "San Pedro de Tipisca, rÃ­o LoretoyacÃº (afluente del rÃ­o Amazonas), terraza baja, moderadamente disectadas" 30 8 1996 "Posada, A." "2548" "Ejemplar botÃ¡nico" "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -46.58 -13.92 NA "778774" "B. A. S. Pereira" "Brazil" "GoiÃ¡s" "Guarani de GoiÃ¡s" "No. km 16 da estrada Posse/Guarani de GoiÃ¡s." 13 8 1995 "B. A. S. Pereira" "2819" NA "gbif"
"Cavanillesia umbellata Ruiz & Pav." NA NA "HPL" "4291" "V.C. Souza" "Brazil" "Ba" NA "Coletada na estrada para Barreiras." 18 8 1994 "H. Lorenzi" "1601" NA "gbif"
"Cavanillesia umbellata Ruiz & Pav." NA NA "HPL" "4292" "V.C. Souza" "Brazil" "Mg" NA "Coletada na fazenda Santa cecÃ­lia de SebastiÃ£o Mentans." 18 8 1994 "H. Lorenzi" "1649" NA "gbif"
"Cavanillesia arborea (Willd.) K.Schum." NA NA "Botany" "2206906" NA "Brazil" "GoiÃƒÂ¡s" "Flores de Goias" "Alvorada do Norte." 9 9 1994 "B. A. S. Pereira" "2615" NA "gbif"
"Cavanillesia umbellata Ruiz & Pav." -73.5 -4.166667 "MO" "188621" NA "Peru" "Loreto" "Maynas" "Distrito Iquitos. Allpahuayo, estaciÃ³n IIAP. Bosque primario." 14 10 1993 "Rodolfo VÃ¡squez" "VÃ¡squez MartÃ­nez 18338" NA "gbif"
"Cavanillesia umbellata Ruiz & Pav." -68 -15.5 "Botany" NA "R. Seidel" "Bolivia, Plurinational State of" "La Paz" NA NA 26 2 1992 "R. Seidel" "5706" NA "gbif"
"Cavanillesia umbellata Ruiz & Pav." -70.25 -3.7 "FMB" "FMB-053862" "FernÃ¡ndez-Alonso, JosÃ©" "Colombia" "Amazonas" "Leticia" "Alrededores de la quebrada Agua Pudre" 24 3 1992 "Rudas, AgustÃ­n; Giraldo, D.; Tuberguias, D.; Uribe, F." "3613" NA "gbif"
"Cavanillesia umbellata Ruiz & Pav." -70.25 -3.733333 "HUIS" "11111" "A. Rudas" "Colombia" "Amazonas" "Leticia" "Parque Nacional Natural Amacayacu, quebrada Agua Pudre" 24 3 1992 "Rudas A." "3613" "Ãrbol # 1146 de 10 m. x 24.3 cm" "gbif"
"Cavanillesia umbellata Ruiz & Pav." -70.25 -3.7 "MO" "189845" "A. Rudas (COL)" "Colombia" "Amazonas" NA "Municipio de Leticia. Parque Nacional Natural Amacayacu. Alrededores de la quebrada Agua Pudre en bosque de terra firme. Parcela E, No. 17." 24 3 1992 "Agustin Rudas L.|Diego Giraldo-CaÃ±as|et al." "Rudas Lleras 3613" NA "gbif"
"Cavanillesia umbellata Ruiz & Pav." NA NA "MO" "1715469" "R. Foster, 89" "Bolivia, Plurinational State of" "Beni" NA NA 29 5 1992 "Stephan G. Beck" "Beck 16640" NA "gbif"
"Cavanillesia umbellata Ruiz & Pav." -69.05 -12.48333 "MO" "189926" "R. Vasquez (MO)" "Peru" "Madre de Dios" "Tambopata" "Las Piedras. Cusco AmazÃ³nico. Inventario Permanente. Plantas colectadas en trocha F y I." 29 10 1991 "MartÃ­n E. TimanÃ¡|Nestor Jaramillo" "TimanÃ¡ 2868" NA "gbif"
"Cavanillesia umbellata Ruiz & Pav." -69.05 -12.48333 "MO" "189932" "R. Vasquez (MO)" "Peru" "Madre de Dios" "Tambopata" "Las Piedras. Cusco AmazÃ³nico. Inventario Permanente. Plantas colectadas en trocha F y I." 29 10 1991 "MartÃ­n E. TimanÃ¡|Nestor Jaramillo" "TimanÃ¡ 2871" NA "gbif"
"Cavanillesia umbellata Ruiz & Pav." -69.05 -12.58333 "MO" "190183" "M. Timana (MO)" "Peru" "Madre de Dios" "Tambopata" "Cusco AmazÃ³nico Lodge. TREEPLOTS" 16 4 1990 "Percy NÃºÃ±ez V." "NÃºÃ±ez Vargas 12121" NA "gbif"
"Cavanillesia arborea (Willd.) K.Schum." NA NA "HUEFS" "24143" NA "Brazil" "GoiÃ¡s" NA NA 16 8 1990 "Cavalcanti, T.B." "713" NA "gbif"
"Cavanillesia umbellata Ruiz & Pav." -65.5 -14 "Botany" NA "R. B. Foster : Field Museum of Natural History" "Bolivia, Plurinational State of" "Beni" NA NA 28 5 1988 "S. G. Beck" "16640" NA "gbif"
"Cavanillesia umbellata Ruiz & Pav." -72.933 -3.241 "MO" "190042" "R. Vasquez (MO)" "Peru" "Loreto" "Maynas" "Yanamono, Explorama Tourist Camp, halfway between Indiana and mouth of RÃ­o Napo, non- flooded forest on rather fertile soil." 30 7 1988 "H. van der Werff|et al." "van der Werff 9853" NA "gbif"
"Cavanillesia umbellata Ruiz & Pav." -73.33333 -4.58333 "MO" "190325" "J.L. Fernandez A. (COL)" "Peru" "Loreto" "Maynas" "Dtto. Iquitos, Km 42 Carretera Iquitos-Nauta. Bosque primario." 18 8 1987 "Rodolfo VÃ¡squez|Nestor Jaramillo" "VÃ¡squez MartÃ­nez 9378" NA "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -39.183333 -12.166667 "HUEFS" "6735" NA "Brazil" "Bahia" NA NA 13 11 1986 "Queiroz, L.P.de" "1035" NA "gbif"
"Cavanillesia umbellata Ruiz & Pav." -70.25 -12 "Botany" NA NA "Peru" "Madre de Dios" NA NA 29 7 1984 "R. B. Foster" "9716" NA "gbif"
"Cavanillesia umbellata Ruiz & Pav." -75.01666 -8.75 "MO" "189022" "A. Gentry" "Peru" "HuÃ¡nuco" NA "Km 11 to Km 12. Carretera Marginal (in construction) S of Pucallpa-  Tingo Maria road at Bosque von Humboldt." 31 5 1983 "Alwyn H. Gentry|Nestor Jaramillo" "Gentry 41362" NA "gbif"
"Cavanillesia umbellata Ruiz & Pav." -75.8333 -9.5 "Botany" NA "A. H. Gentry" "Peru" "Hu<U+FFFD>nuco" NA NA 31 5 1983 "A. H. Gentry" "41362" NA "gbif"
"Cavanillesia umbellata Ruiz & Pav." -75.033333 -9.683333 "MO" "1483389" "A. Gentry" "Peru" "Ucayali" NA "Carretera Marginal, 22 km S of Km 86." 11 2 1981 "Alwyn H. Gentry|Sue Libenson|Kenneth Young|Mark E. Olson" "Gentry 31213" NA "gbif"
"Cavanillesia umbellata Ruiz & Pav." -76.46666 -2.8 "MO" "188341" "A. Gentry" "Peru" "Loreto" "Alto Amazonas" "Andoas, RÃ­o Pastaza near Ecuador border. Mature and disturbed forest on lateritic soil." 14 8 1980 "Alwyn H. Gentry|Rodolfo VÃ¡squez|Nestor Jaramillo" "Gentry 29688" NA "gbif"
"Cavanillesia umbellata Ruiz & Pav." -70.25 -12 "Botany" NA NA "Peru" "Madre de Dios" NA NA 30 9 1980 "R. B. Foster" "5432" NA "gbif"
"Cavanillesia umbellata Ruiz & Pav." -70.25 -12 "Botany" NA NA "Peru" "Madre de Dios" NA NA 30 9 1980 "R. B. Foster" "5432" NA "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -39.083333 -12.533333 "CEPEC" "26837" "Grupo Pedra do Cavalo" "Brazil" "Bahia" NA "Est. da Mata (Barragem de Bananeiras). Vale dos Rios Paraguacu & Jacuipe" 15 10 1980 "Grupo Pedra do Cavalo" "801" "Ambiente: Mata. Habito: Ãrvore maior que 5m e menor 20m" "gbif"
"Cavanillesia arborea (Willd.) K.Schum." -39.083333 -12.533333 "HUEFS" "833" NA "Brazil" "Bahia" NA NA NA 10 1980 "Grupo Pedra do Cavalo" "801" NA "gbif"
"Cavanillesia umbellata Ruiz & Pav." -39.083333 -12.533333 "ALCB" "08283" "Bocage, A" "Brazil" "Bahia" NA "RecÃ´ncavo Sul, EstaÃ§Ã£o da Mata ( B. Bananeiras)" NA 10 1980 "Grupo Pedra do Cavalo" "801" "Ca. de 15 - 20 m de alt. Com tronco abaulado; flores e botÃµes veremelho - alaranjado." "gbif"
"Cavanillesia umbellata Ruiz & Pav." -39.083333 -12.533333 "ALCB" "08306" "Guedes, ML; et al." "Brazil" "Bahia" NA "RecÃ´ncavo Sul, IpuaÃ§u" NA 11 1980 "Grupo Pedra do Cavalo" "925" "Ca. de 12 m de alt. Sem folhas e flores, frutos grandes e alados." "gbif"
