Specie	LONGITUDE	LATITUDE	OBSERVATION DATE
T_nigriceps	-65.0850365	-24.2401048	09/07/2003
T_nigriceps	-65.0850365	-24.2401048	18/08/2003
T_nigriceps	-65.4662869	-24.1191307	20/11/2003
T_nigriceps	-65.4050016	-24.1195343	18/11/2003
T_nigriceps	-64.8495054	-23.7608379	13/11/2003
T_nigriceps	-64.3516705	-24.002982	16/01/2004
T_nigriceps	-64.8495054	-23.7608379	02/07/2004
T_nigriceps	-64.8495054	-23.7608379	02/07/2004
T_nigriceps	-64.8495054	-23.7608379	15/11/2004
T_nigriceps	-65.4361153	-24.1168734	10/02/2005
T_nigriceps	-65.4361153	-24.1168734	10/02/2005
T_nigriceps	-64.9591667	-23.438	13/03/2005
T_nigriceps	-64.455	-24.12	26/10/2005
T_nigriceps	-64.8495054	-23.7608379	17/10/2005
T_nigriceps	-64.8495054	-23.7608379	17/10/2005
T_nigriceps	-64.8679324	-23.6962112	15/11/2005
T_nigriceps	-64.9850199	-23.4408327	07/01/2006
T_nigriceps	-65.4662869	-24.1191307	28/03/2006
T_nigriceps	-64.8679324	-23.6962112	22/10/2006
T_nigriceps	-64.8679324	-23.6962112	08/04/2007
T_nigriceps	-65.4399464	-24.0315979	18/11/2007
T_nigriceps	-65.4725075	-24.1149515	09/11/2007
T_nigriceps	-65.4725075	-24.1149515	09/11/2007
T_nigriceps	-65.4526591	-24.1217081	28/11/2007
T_nigriceps	-65.4725075	-24.1149515	09/11/2007
T_nigriceps	-64.8495054	-23.7608379	27/11/2007
T_nigriceps	-65.4725075	-24.1149515	09/11/2007
T_nigriceps	-65.4787731	-24.1069606	08/11/2007
T_nigriceps	-64.8495054	-23.7608379	14/03/2008
T_nigriceps	-64.8495054	-23.7608379	12/07/2008
T_nigriceps	-64.8495054	-23.7608379	16/05/2009
T_nigriceps	-64.8495054	-23.7608379	16/05/2009
T_nigriceps	-64.8495054	-23.7608379	16/05/2009
T_nigriceps	-64.8495054	-23.7608379	16/05/2009
T_nigriceps	-64.8495054	-23.7608379	15/05/2009
T_nigriceps	-64.8542905	-23.7535124	14/05/2009
T_nigriceps	-64.8495054	-23.7608379	15/05/2009
T_nigriceps	-64.8495054	-23.7608379	15/05/2009
T_nigriceps	-64.8542905	-23.7535124	14/05/2009
T_nigriceps	-64.8542905	-23.7535124	14/05/2009
T_nigriceps	-64.8495054	-23.7608379	15/05/2009
T_nigriceps	-64.8542905	-23.7535124	14/05/2009
T_nigriceps	-64.8495054	-23.7608379	16/05/2009
T_nigriceps	-64.8542905	-23.7535124	14/05/2009
T_nigriceps	-64.8495054	-23.7608379	15/05/2009
T_nigriceps	-64.8495054	-23.7608379	19/10/2009
T_nigriceps	-64.8495054	-23.7608379	19/10/2009
T_nigriceps	-65.4787731	-24.1069606	16/01/2012
T_nigriceps	-65.4662869	-24.1191307	22/10/2012
T_nigriceps	-65.3061474	-24.49516	22/10/2012
T_nigriceps	-65.4526591	-24.1217081	03/12/2012
T_nigriceps	-64.8495054	-23.7608379	10/08/2013
T_nigriceps	-64.9053168	-23.6701391	17/11/2013
T_nigriceps	-64.8495054	-23.7608379	19/11/2013
T_nigriceps	-64.8995554	-23.6840989	25/11/2013
T_nigriceps	-65.4526591	-24.1217081	21/11/2013
T_nigriceps	-64.9033481	-23.670024	29/12/2013
T_nigriceps	-64.8495054	-23.7608379	26/12/2013
T_nigriceps	-65.4043686	-24.1182835	14/12/2013
T_nigriceps	-64.5004213	-24.4706528	21/01/2014
T_nigriceps	-64.4099113	-24.2564217	21/01/2014
T_nigriceps	-65.1046586	-23.90055	06/01/2014
T_nigriceps	-64.9343491	-24.2429785	06/05/2014
T_nigriceps	-64.9890217	-23.3562213	23/09/2014
T_nigriceps	-65.4526591	-24.1217081	11/10/2014
T_nigriceps	-65.4526591	-24.1217081	28/10/2014
T_nigriceps	-65.4526591	-24.1217081	12/10/2014
T_nigriceps	-65.4526591	-24.1217081	11/10/2014
